endate,agcode1,line,branch,idate,edate,pcategory,ptype,vuse,brand,body,model,color,transmission,fuel,prem
4/8/12,ID00001,MC,HOCOC,4/16/12,4/16/13,CTPL,Basic,Private,Toyota,Sedan,2011,Black,Automatic,Gasoline,447.01
5/14/13,ID00001,MC,HOCOC,5/21/13,6/21/14,CTPL,Basic,Private,Toyota,Sedan,2011,Black,Automatic,Gasoline,447.01
6/21/14,ID00001,MC,HOCOC,6/28/14,7/28/15,CTPL,Basic,Private,Toyota,Sedan,2011,Black,Automatic,Gasoline,447.01
7/29/15,ID00001,MC,HOCOC,8/5/15,9/5/16,CTPL,Basic,Private,Toyota,Sedan,2011,Black,Automatic,Gasoline,447.01
9/4/16,ID00001,MC,HOCOC,9/11/16,9/11/17,Comprehensive,Basic,Private,Toyota,Sedan,2011,Black,Automatic,Gasoline,447.01
10/12/17,ID00001,MC,HOCOC,10/19/17,10/19/18,Comprehensive,Basic,Private,Toyota,Sedan,2011,Black,Automatic,Gasoline,447.01
11/19/18,ID00001,MC,HOCOC,11/26/18,11/26/19,Comprehensive,Premium,Private,Mitsubishi ,SUV,2018,Silver,Automatic,Diesel,957.88
12/27/19,ID00001,MC,HOCOC,1/3/20,1/2/21,Comprehensive,Premium,Private,Mitsubishi ,SUV,2018,Silver,Automatic,Diesel,957.88
2/2/21,ID00001,MC,HOCOC,2/9/21,2/9/22,Comprehensive,Premium,Private,Mitsubishi ,SUV,2018,Silver,Automatic,Diesel,957.88
12/27/19,ID00002,MC,HOCOC,1/3/20,1/3/21,Comprehensive,Premium,Private,Mitsubishi ,SUV,2018,Silver,Automatic,Diesel,957.88
2/2/21,ID00002,MC,HOCOC,2/9/21,3/9/22,Comprehensive,Premium,Private,Mitsubishi ,SUV,2018,Silver,Automatic,Diesel,957.88
5/13/16,ID00003,MC,HOCOC,5/20/16,5/20/17,Comprehensive,Basic,Private,Honda,Sedan,2016,White,Automatic,Gasoline,447.01
6/2/17,ID00003,MC,HOCOC,6/9/17,6/9/18,Comprehensive,Basic,Private,Honda,Sedan,2016,White,Automatic,Gasoline,447.01
6/22/18,ID00003,MC,HOCOC,6/29/18,6/29/19,Comprehensive,Premium,Private,Honda,Sedan,2016,White,Automatic,Gasoline,447.01
7/12/19,ID00003,MC,HOCOC,7/19/19,7/19/20,Comprehensive,Premium,Private,Honda,Sedan,2016,White,Automatic,Gasoline,447.01
7/31/20,ID00003,MC,HOCOC,8/7/20,8/7/21,Comprehensive,Premium,Private,Honda,Sedan,2016,White,Automatic,Gasoline,447.01
8/20/21,ID00003,MC,HOCOC,8/27/21,8/27/22,Comprehensive,Premium,Private,Honda,Sedan,2016,White,Automatic,Gasoline,447.01
8/22/13,ID00004,MC,BTARLA,8/29/13,8/29/14,CTPL,Basic,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
9/5/14,ID00004,MC,BTARLA,9/12/14,9/12/15,CTPL,Basic,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
9/19/15,ID00004,MC,BTARLA,9/26/15,9/26/16,CTPL,Basic,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
10/2/16,ID00004,MC,BTARLA,10/9/16,10/9/17,CTPL,Basic,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
10/16/17,ID00004,MC,BTARLA,10/23/17,10/23/18,Comprehensive,Premium,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
10/30/18,ID00004,MC,BTARLA,11/6/18,11/6/19,Comprehensive,Premium,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
11/13/19,ID00004,MC,BTARLA,11/20/19,11/20/20,Comprehensive,Premium,Private,Nissan,Pickup,2011,Black,Manual ,Diesel,1211.25
3/15/17,ID00005,MC,IMECA,3/22/17,3/22/18,Comprehensive,Basic,Private,Hyundai,SUV,2015,Silver,Automatic,Gasoline,957.88
5/5/18,ID00005,MC,IMECA,5/12/18,5/12/19,Comprehensive,Basic,Private,Hyundai,SUV,2015,Silver,Automatic,Gasoline,957.88
