custid,policystartd,policyendd,gender,age,ptype,vclass,vcolor,vmaker,product
ID_0040R73,5/14/10,5/13/11,Male,30,1,Saloon,Black,TOYOTA,Car Classic
ID_0046BNK,11/29/10,11/28/11,Female,79,1,JEEP,Grey,TOYOTA,Car Classic
ID_005QMC3,3/21/10,3/20/11,Male,43,1,Saloon,Red,TOYOTA,Car Classic
ID_0079OHW,8/21/10,8/20/11,Male,2,1,,,,CarSafe
ID_00BRP63,8/29/10,12/31/10,Entity,20,3,,,,Muuve
ID_00D3EF6,10/21/10,10/20/11,Male,37,2,,,,Car Classic
ID_00HHZ8Y,8/2/10,8/1/11,Female,40,3,,,,CVTP
ID_00M1X6U,9/12/10,9/11/11,Male,43,1,Saloon,,TOYOTA,CarSafe
ID_00N7XT1,7/6/10,7/5/11,Female,71,2,JEEP,Black,REXTON,Car Classic
ID_00QF156,12/18/10,12/17/11,Female,58,1,,,,Car Classic
ID_00RDFUY,12/23/10,12/22/11,Female,43,1,,,,CarSafe
ID_00TMUS4,10/25/10,10/23/11,Male,45,1,JEEP,,Lexus,Car Plus
ID_00VRPZL,1/3/10,1/2/11,Male,51,1,Saloon,,TOYOTA,Car Classic
ID_019TN1T,9/10/10,9/9/11,Male,38,1,,,,Car Classic
ID_01A4DSV,11/19/10,11/5/11,Male,81,1,,As Attached,Hyundai,Car Classic
ID_01BJS22,4/26/10,4/25/11,Female,69,1,Saloon,,TOYOTA,CarSafe
ID_01HTP5J,5/9/10,5/8/11,Female,31,1,Saloon,Black,TOYOTA,Car Classic
ID_01ITX31,6/28/10,6/27/11,Male,70,1,,,TOYOTA,Car Classic
ID_01P8CIZ,7/27/10,6/14/11,Male,20,1,,Blue,Iveco,CVTP
ID_01T1B6E,12/13/10,6/12/11,Entity,20,2,,,DAF,CVTP
ID_01Z1YOR,10/16/10,10/15/11,Male,30,1,,,,Car Classic
ID_01ZY7FF,8/7/10,8/6/11,Male,30,1,Saloon,Grey,TOYOTA,Car Classic
ID_020608O,3/5/10,3/4/11,Male,34,1,Saloon,Blue,TOYOTA,Car Classic
ID_022U6TV,10/28/10,10/27/11,Male,40,2,Saloon,Black,Honda,Car Classic
ID_02390ZY,12/11/10,12/10/11,Male,1,1,,,,CarSafe
ID_02DJWEN,1/23/10,1/16/11,Male,41,1,Saloon,Silver,TOYOTA,Car Classic
ID_02GM2IL,7/2/10,7/1/11,Male,31,1,Saloon,Grey,TOYOTA,Car Classic
ID_02NAGK1,3/1/10,3/1/11,Male,40,1,Saloon,,TOYOTA,CarSafe
ID_02O5FDM,2/10/10,2/9/11,Joint Gender,20,1,,As Attached,TOYOTA,Car Classic
ID_02RCBEU,3/16/10,3/15/11,Male,47,2,Saloon,,TOYOTA,CarSafe
ID_02T5M8A,1/22/10,1/21/11,Female,40,1,,Grey,Mercedes,Car Classic
ID_02XA0UK,10/7/10,4/5/11,,34,1,,,,Car Classic
ID_034XN1U,7/2/10,7/1/11,,2,1,Motorcycle,Red,Jincheng,Motor Cycle
ID_035HSJO,6/21/10,6/19/11,Female,36,1,JEEP,,Mercedes,Car Plus
ID_03H676V,4/4/10,4/3/11,Male,37,1,Saloon,,Honda,CarSafe
ID_03HT5Q0,11/28/10,11/27/11,Male,46,1,,,,CarSafe
ID_03LHF6C,8/7/10,8/6/11,Male,48,1,,,,CarSafe
ID_03U3I31,9/6/10,9/5/11,Male,39,2,Saloon,Red,TOYOTA,Car Classic
ID_03UD6OT,11/9/10,11/8/11,Female,63,2,Saloon,,ACURA,CarSafe
ID_03V06TZ,3/12/10,3/11/11,Female,39,1,Saloon,Black,Honda,Car Classic
ID_042RNAI,2/12/10,2/11/11,Male,40,1,Saloon,,Honda,CarSafe
ID_046FQ5I,4/25/10,4/9/11,Male,47,1,JEEP,Black,Ford,Car Classic
ID_04C9IRV,12/25/10,4/24/11,Female,36,1,,,,Car Classic
ID_04FP4M2,1/13/10,1/12/11,Female,47,3,JEEP,,Lexus,Car Classic
ID_04JEN82,3/8/10,2/9/11,Male,41,2,Saloon,Silver,TOYOTA,Car Plus
ID_04RDLQY,7/8/10,7/7/11,Male,42,3,Truck,Green,Iveco,CVTP
ID_04RZ9TY,4/15/10,4/14/11,Male,38,1,Saloon,Green,TOYOTA,Car Classic
ID_04Z1VXP,9/9/10,9/8/11,Female,27,1,,,,Car Classic
ID_052YTIW,6/6/10,6/5/11,Male,42,1,Saloon,Red,TOYOTA,Car Classic
ID_0559SH8,5/20/10,5/19/11,Male,39,1,Saloon,Grey,Honda,Car Classic
ID_0577HW2,4/26/10,4/25/11,Female,30,2,Saloon,Black,TOYOTA,Car Classic
ID_058FZ64,4/23/10,4/22/11,Female,64,1,Saloon,Black,TOYOTA,Car Classic
ID_05CDD8E,7/31/10,7/30/11,Male,36,1,Saloon,,Volkswagen,CarSafe
ID_05FC0AD,7/4/10,7/3/11,Female,50,1,Saloon,,TOYOTA,Car Classic
ID_05HTYFW,8/15/10,8/14/11,Female,53,1,Saloon,,TOYOTA,CarSafe
ID_05R7YFI,2/18/10,2/17/11,Male,37,1,JEEP,Ash,Lexus,Car Classic
ID_05RDR1E,8/21/10,7/16/11,Male,33,2,,,,Car Classic
ID_05ROASD,9/17/10,9/16/11,Male,23,1,,,,Car Classic
ID_05VUW92,7/26/10,3/1/11,Male,47,1,,,,Car Classic
ID_063CV9E,9/20/10,9/19/11,Male,47,1,,,,CarSafe
ID_063MQH3,10/9/10,4/8/11,Male,45,1,Saloon,Blue,TOYOTA,Car Classic
ID_067V50A,4/4/10,4/2/11,Male,32,1,Saloon,,Mercedes,CarSafe
ID_06A4GSU,11/26/10,11/25/11,Male,59,1,,,,Car Classic
ID_06BSIZB,1/17/10,1/16/11,Male,30,1,Saloon,,Nissan,CarSafe
ID_06CA2IY,5/13/10,4/10/11,Female,60,1,Saloon,,TOYOTA,Car Classic
ID_06HCAU1,6/19/10,4/14/11,Male,37,1,Truck,White,DAF,CVTP
ID_06MWQX4,7/11/10,7/10/11,Female,37,1,Saloon,,TOYOTA,CarSafe
ID_06TZLPR,11/6/10,8/6/11,Male,52,3,Saloon,Blue,TOYOTA,Car Classic
ID_06WKCVO,4/28/10,4/27/11,Male,54,1,JEEP,,Honda,Car Plus
ID_075PIAF,10/17/10,10/16/11,Female,40,1,,,,CarSafe
ID_076DFB7,8/8/10,8/7/11,Joint Gender,1,1,,,,CarSafe
ID_0785NAL,5/17/10,5/15/11,Male,44,1,Saloon,,Hyundai,CarSafe
ID_0790YUZ,9/30/10,8/13/11,Female,11,3,,,,Car Classic
ID_079GMOS,4/10/10,4/9/11,Entity,20,2,,,TOYOTA,Car Classic
ID_07LQ83J,10/23/10,10/22/11,Male,78,2,Saloon,,TOYOTA,Car Classic
ID_07Q2HUE,3/25/10,3/24/11,Male,20,1,Saloon,,TOYOTA,CarSafe
ID_07SVRHZ,8/23/10,8/22/11,Female,28,1,,,,Car Classic
ID_08833XP,5/23/10,5/22/11,Female,42,1,JEEP,Gray & Gray,Honda,Car Classic
ID_088DOQ3,1/7/10,1/6/11,Female,50,2,Saloon,Black,TOYOTA,Car Classic
ID_08EMHRD,7/23/10,7/22/11,Female,37,1,Saloon,White,TOYOTA,Car Classic
ID_08QV44L,7/24/10,6/13/11,Female,34,1,Bus,Blue,TOYOTA,Car Classic
ID_094BCZS,9/17/10,9/16/11,Male,44,1,Saloon,Black,Mercedes,Car Classic
ID_09BCKQW,7/24/10,7/23/11,Male,39,2,Saloon,Black,TOYOTA,Car Classic
ID_09E0NR0,9/16/10,9/15/11,Female,29,1,,,,Car Classic
ID_09ECI55,2/1/10,1/31/11,Female,32,1,Saloon,Wine,TOYOTA,Car Classic
ID_09IHZ9D,12/12/10,8/10/11,,57,1,Saloon,Grey,Pontiac,Customized Motor
ID_09M1LIC,2/11/10,2/10/11,Male,38,1,Saloon,,TOYOTA,Car Classic
ID_09MIIAB,1/15/10,1/14/11,Female,12,3,Saloon,,TOYOTA,Customized Motor
ID_09N5ZQL,4/4/10,4/3/11,Male,53,2,Saloon,Black,Honda,Car Classic
ID_09OYXKX,2/12/10,2/11/11,Female,65,1,Saloon,,Mercedes,CarSafe
ID_09TVK15,1/12/10,1/11/11,Female,32,1,Saloon,,TOYOTA,Car Classic
ID_09YO39R,7/19/10,7/18/11,,20,1,Motorcycle,As Attached,.,Motor Cycle
ID_0A94GFU,10/30/10,10/29/11,Female,30,1,,,,CarSafe
ID_0AJ12UF,3/27/10,3/26/11,Male,48,1,JEEP,,TOYOTA,Customized Motor
ID_0AP9C8K,10/23/10,5/27/11,Female,37,2,Saloon,Black,TOYOTA,Car Classic
ID_0AU7A1K,12/12/10,12/11/11,Male,37,1,,,,Car Classic
ID_0B5W1GU,2/8/10,2/7/11,Female,50,1,Saloon,,TOYOTA,CarSafe
ID_0B7IUMF,11/13/10,11/12/11,Male,53,2,,White,Range Rover,Car Classic
ID_0BBIOBG,5/17/10,5/16/11,Female,44,1,Saloon,,TOYOTA,CarSafe
ID_0BN4W5V,7/1/10,12/31/10,Male,35,2,JEEP,As Attached,Lexus,Car Classic
ID_0BUJCEP,12/16/10,12/15/11,Female,73,2,JEEP,,TOYOTA,Customized Motor
ID_0BXLGTA,12/27/10,12/26/11,Male,34,1,JEEP,,Lexus,Car Classic
ID_0C14U0E,10/11/10,10/9/11,Male,41,1,,,,CarSafe
ID_0C6NVMA,2/25/10,2/24/11,Female,56,1,JEEP,,Hyundai,CarSafe
ID_0CJO0AT,8/2/10,7/8/11,Female,29,1,,,,Car Classic
ID_0CM4BI3,10/26/10,10/25/11,Male,36,1,Saloon,,Honda,CarSafe
ID_0CW58L7,3/26/10,3/25/11,Female,56,1,JEEP,Black,Nissan,Car Classic
ID_0D03EM0,3/2/10,3/1/11,Female,44,1,Saloon,Ash,TOYOTA,Car Classic
ID_0D2UBKM,8/6/10,8/5/11,Male,34,1,Saloon,Red,TOYOTA,Car Classic
ID_0D57898,8/20/10,2/17/11,Male,55,3,,,,Car Classic
ID_0DB63CB,7/2/10,7/1/11,Female,26,1,JEEP,Black,Honda,Car Classic
ID_0DGZCRK,12/10/10,12/9/11,,38,1,Saloon,,Volkswagen,CarSafe
ID_0DLE3E9,1/30/10,1/29/11,Male,20,1,Saloon,,Kia,CarSafe
ID_0DQURZJ,11/12/10,11/11/11,Male,49,1,,,,CarSafe
ID_0E0GIOO,7/24/10,1/15/11,Female,38,1,JEEP,Wine,TOYOTA,Car Classic
ID_0E461H1,5/16/10,5/14/11,Male,42,1,Saloon,Black,TOYOTA,Car Classic
ID_0E4K0GF,8/7/10,8/6/11,Male,31,1,Saloon,,TOYOTA,CarSafe
ID_0EARV5X,1/21/10,1/20/11,Male,43,1,Saloon,Green,Honda,Car Classic
ID_0EHKMTL,9/4/10,9/3/11,Male,50,2,JEEP,Black,TOYOTA,Car Classic
ID_0EJ4LR3,1/11/10,1/10/11,Male,38,1,,As Attached,Lexus,Car Classic
ID_0ELAKXI,2/4/10,2/3/11,Male,30,2,Saloon,Black,Honda,Car Classic
ID_0EM6LSO,3/26/10,3/24/11,Female,65,1,JEEP,Black,TOYOTA,Car Classic
ID_0EMO48C,2/15/10,2/14/11,,50,1,,White,Mitsubishi,CVTP
ID_0ENFSCX,8/15/10,8/14/11,Male,20,1,,,TOYOTA,Car Classic
ID_0EQQYES,8/29/10,8/28/11,Male,35,2,,Silver,TOYOTA,Car Classic
ID_0ESEOON,8/21/10,8/6/11,Male,20,1,,,Iveco,CVTP
ID_0ESTG4D,8/9/10,8/8/11,Joint Gender,35,1,,,,CarSafe
ID_0EYU1TC,3/16/10,3/15/11,Male,36,2,Saloon,Ash,TOYOTA,Car Classic
ID_0F0ZI7B,10/21/10,10/20/11,Male,70,1,,,TOYOTA,Car Plus
ID_0F1JIXI,6/3/10,6/2/11,Female,60,1,,Black,Lexus,Car Classic
ID_0F1PDB1,5/31/10,5/30/11,Male,38,1,Saloon,Grey,TOYOTA,Car Classic
ID_0F3IJXA,1/16/10,1/15/11,Female,45,1,,,TOYOTA,Car Classic
ID_0F5MJ5K,12/19/10,11/17/11,Male,37,1,Saloon,Black,Honda,Car Classic
ID_0F6TNYQ,5/21/10,5/3/11,Male,30,1,,As Attached,Scania,CVTP
ID_0F7BHGK,2/4/10,2/3/11,Entity,18,1,Saloon,,Hyundai,Customized Motor
ID_0F7DPHC,12/12/10,12/11/11,Female,35,1,,,,CarSafe
ID_0FIFLYO,6/28/10,6/26/11,Female,27,1,Saloon,,TOYOTA,Car Classic
ID_0FP7360,12/9/10,10/22/11,Male,46,1,JEEP,Black,TOYOTA,Car Classic
ID_0FRE9RN,10/24/10,10/23/11,Male,30,1,,,,CarSafe
ID_0FYEA7B,7/2/10,6/30/11,Female,32,1,Saloon,,Lexus,CarSafe
